year,county_town,HH_num,incm_sum,incm_mean,county,town,incm_med,incm_1st,incm_3rd,incm_std,incm_cv,key,county107,town107
2000,嘉義市西區,26648,19706240,740,嘉義市,西區,557,332,913,840.97998,113.72,嘉義西,嘉義市,西區
2000,嘉義縣阿里山鄉,631,334594,530,嘉義縣,阿里山鄉,471,269,675,421.29001,79.449997,嘉義阿里山,嘉義縣,阿里山鄉
2000,嘉義縣鹿草鄉,3044,1824925,600,嘉義縣,鹿草鄉,489,302,758,566.02002,94.410004,嘉義鹿草,嘉義縣,鹿草鄉
2000,基隆市七堵區,15264,10722471,702,基隆市,七堵區,554,350,872,707.5,100.72,基隆七堵,基隆市,七堵區
2000,基隆市中山區,13879,9234077,665,基隆市,中山區,546,341,858,490.48001,73.720001,基隆中山,基隆市,中山區
2000,基隆市中正區,14806,9919162,670,基隆市,中正區,528,324,843,621.28998,92.739998,基隆中正,基隆市,中正區
2000,基隆市仁愛區,13509,9493349,703,基隆市,仁愛區,527,322,865,767.91998,109.28,基隆仁愛,基隆市,仁愛區
2000,基隆市信義區,13788,10465793,759,基隆市,信義區,593,360,974,619.12,81.57,基隆信義,基隆市,信義區
2000,基隆市安樂區,21646,15763445,728,基隆市,安樂區,581,356,940,600.5,82.459999,基隆安樂,基隆市,安樂區
2000,基隆市暖暖區,9679,6993366,723,基隆市,暖暖區,587,365,933,540.53998,74.809998,基隆暖暖,基隆市,暖暖區
2000,宜蘭縣三星鄉,4656,2624903,564,宜蘭縣,三星鄉,461,282,702,591.40002,104.9,宜蘭三星,宜蘭縣,三星鄉
2000,宜蘭縣五結鄉,9357,5556089,594,宜蘭縣,五結鄉,493,300,753,456.26001,76.839996,宜蘭五結,宜蘭縣,五結鄉
2000,宜蘭縣冬山鄉,12281,7397576,602,宜蘭縣,冬山鄉,506,315,759,462.35001,76.760002,宜蘭冬山,宜蘭縣,冬山鄉
2000,宜蘭縣南澳鄉,922,467113,507,宜蘭縣,南澳鄉,461,266,694,341.32999,67.370003,宜蘭南澳,宜蘭縣,南澳鄉
2000,宜蘭縣員山鄉,6546,3782521,578,宜蘭縣,員山鄉,484,294,733,440.17999,76.18,宜蘭員山,宜蘭縣,員山鄉
2000,宜蘭縣壯圍鄉,5153,2873924,558,宜蘭縣,壯圍鄉,474,294,698,411.41,73.769997,宜蘭壯圍,宜蘭縣,壯圍鄉
2000,宜蘭縣大同鄉,647,368904,570,宜蘭縣,大同鄉,430,264,657,1780.52,312.26999,宜蘭大同,宜蘭縣,大同鄉
2000,宜蘭縣宜蘭市,20108,14550831,724,宜蘭縣,宜蘭市,570,346,917,613.08002,84.720001,宜蘭宜蘭,宜蘭縣,宜蘭市
2000,宜蘭縣礁溪鄉,8294,4796895,578,宜蘭縣,礁溪鄉,476,290,731,459.13,79.379997,宜蘭礁溪,宜蘭縣,礁溪鄉
2000,宜蘭縣羅東鎮,15554,11204689,720,宜蘭縣,羅東鎮,556,331,893,669.21997,92.900002,宜蘭羅東,宜蘭縣,羅東鎮
